county_fips,county,state_fips,full_fips,pct_no_vehicle,avg_commute_time,pct_broadband,poverty_rate,unemployment_rate,employment_growth,licensing_burden_index,ban_the_box_score,fair_chance_score
163,Sampson,37,37163,5.17931713208726,23.57736179073886,465.90947783820775,22.935336785508476,6.096054751741354,-2.477025778108255,65,75,77.44160738030077
165,Scotland,37,37165,9.589826603935677,20.635359455999144,84.86504556413227,11.818537244741375,6.824765275827252,-0.11252930494552338,65,75,79.06478218978923
167,Stanly,37,37167,21.430292201452396,18.862508604797434,132.15471608819655,17.25257800479132,4.991977852577114,5.650363959707002,65,75,64.83115678820542
169,Stokes,37,37169,11.696299210448105,18.584675853638114,225.7961995159612,24.27565585640137,6.479300107700046,1.6103631555858522,65,75,56.732899788021136
171,Surry,37,37171,29.97458052339626,21.955838568170623,125.09855961314575,23.73470525713084,4.132412689264962,2.133425179934277,65,75,60.256858454907345
173,Swain,37,37173,31.939495167576602,28.80172756336639,1202.7678072783358,15.337513094202087,4.507822420671712,4.474618449628213,65,75,75.463832877413
175,Transylvania,37,37175,92.92359606563714,24.87633940847448,105.32781702029033,21.19534232387632,5.110571877366709,-2.317682560134334,65,75,59.96006956130339
177,Tyrrell,37,37177,7.811740871959044,31.069533474612037,113.44610340185173,23.815506758284684,6.4184120838836005,0.1849110716097364,65,75,63.77732691296498
179,Union,37,37179,664.5868645856802,29.094056585634547,309.7640951445459,14.744266976716474,4.921834175410567,-2.6058482216365264,65,75,87.50896776828507
181,Vance,37,37181,5.8077284234497135,20.58073891701962,126.01268079500016,18.839849199857778,6.769272278551701,0.5281643354551542,65,75,82.22781297610999
183,Wake,37,37183,19.622957127786563,20.49434326036881,86.38080573633731,9.144634543461033,2.6117590153493224,3.0532627702966773,65,75,82.48797259386545
185,Warren,37,37185,266.5714434138267,27.026979787132795,97.33020720886249,12.537374362802314,5.176266467206437,2.0447646826328203,65,75,80.21425996398361
187,Washington,37,37187,39.19501206324989,21.67487377819414,99.20692840688842,13.700682690126271,4.357860474863065,3.323809684414254,65,75,61.772114901741354
189,Watauga,37,37189,14.778052618789564,22.38252352286061,142.2162750098338,19.362482521911502,4.402376765265715,1.2027645350226237,65,75,52.20555523862015
191,Wayne,37,37191,39.35607512437178,19.348625665930786,225.9930904974337,17.464218350406266,5.402434591196236,-1.5285213602558794,65,75,66.94907272422716
193,Wilkes,37,37193,13.334265847381468,20.438812166541016,106.6447397006821,10.784348983047806,7.700362943508043,-0.9151823946738493,65,75,89.08042356748211
195,Wilson,37,37195,6.923669568076791,24.22602586719598,145.60830351619893,16.232671423490377,7.636853787863251,5.571991115904833,65,75,50.574081127038525
197,Yadkin,37,37197,15.125814672786028,32.532970883032505,732.8868367848723,22.620394578218175,2.8830180442376463,0.6419002198940049,65,75,81.14027242831102
199,Yancey,37,37199,5.225298869536337,28.515303750114747,88.22817822603275,17.5138538811591,7.323852091671576,-0.5655864223464415,65,75,68.95698133261864
